location,date,num_sequences_total
Norway,2021-05-03,1654
Norway,2021-05-17,1837
Norway,2021-05-31,1417
Norway,2021-06-14,1134
Norway,2021-06-28,827
Norway,2021-07-12,867
Norway,2021-07-26,892
Norway,2021-08-09,1320
Oman,2021-04-05,11
Oman,2021-04-19,18
Oman,2021-05-03,53
Oman,2021-05-17,21
Oman,2021-05-31,12
Oman,2021-06-14,43
Oman,2021-06-28,71
Oman,2021-07-12,7
Pakistan,2021-04-05,6
Pakistan,2021-04-19,138
Pakistan,2021-05-03,53
Pakistan,2021-05-17,30
Pakistan,2021-05-31,80
Pakistan,2021-06-14,195
Pakistan,2021-06-28,54
Pakistan,2021-07-12,59
Pakistan,2021-07-26,67
Pakistan,2021-08-09,121
Papua New Guinea,2021-04-05,598
Papua New Guinea,2021-04-19,100
Papua New Guinea,2021-05-03,128
Papua New Guinea,2021-05-17,193
Papua New Guinea,2021-05-31,18
Papua New Guinea,2021-06-14,14
Papua New Guinea,2021-06-28,3
Papua New Guinea,2021-07-12,16
Papua New Guinea,2021-07-26,19
Papua New Guinea,2021-08-09,19
Paraguay,2021-04-05,14
Paraguay,2021-04-19,31
Paraguay,2021-05-03,20
Paraguay,2021-05-17,26
Paraguay,2021-05-31,14
Paraguay,2021-06-14,41
Paraguay,2021-06-28,18
Paraguay,2021-07-12,59
Paraguay,2021-07-26,25
Paraguay,2021-08-09,64
Peru,2021-04-05,190
Peru,2021-04-19,523
Peru,2021-05-03,321
Peru,2021-05-17,325
Peru,2021-05-31,284
Peru,2021-06-14,803
Peru,2021-06-28,496
Peru,2021-07-12,467
Peru,2021-07-26,586
Peru,2021-08-09,507
Philippines,2021-04-05,1016
Philippines,2021-04-19,386
Philippines,2021-05-03,394
Philippines,2021-05-17,343
Philippines,2021-05-31,331
Philippines,2021-06-14,575
Philippines,2021-06-28,836
Philippines,2021-07-12,886
Philippines,2021-07-26,1114
Philippines,2021-08-09,1400
Poland,2021-04-05,1803
Poland,2021-04-19,2782
Poland,2021-05-03,2636
Poland,2021-05-17,2568
Poland,2021-05-31,1627
Poland,2021-06-14,621
Poland,2021-06-28,150
Poland,2021-07-12,186
Poland,2021-07-26,243
Poland,2021-08-09,333
Portugal,2021-04-05,70
Portugal,2021-04-19,1586
Portugal,2021-05-03,98
Portugal,2021-05-17,1061
Portugal,2021-05-31,110
Portugal,2021-06-14,1247
Portugal,2021-06-28,1170
Portugal,2021-07-12,1132
Portugal,2021-07-26,1250
Portugal,2021-08-09,955
Qatar,2021-04-05,71
Qatar,2021-04-19,119
Qatar,2021-05-03,350
Qatar,2021-05-17,195
Qatar,2021-05-31,78
Qatar,2021-06-14,58
Qatar,2021-08-09,1
Romania,2021-04-05,297
Romania,2021-04-19,186
Romania,2021-05-03,131
Romania,2021-05-17,167
Romania,2021-05-31,152
Romania,2021-06-14,119
Romania,2021-06-28,72
Romania,2021-07-12,58
Romania,2021-07-26,97
Romania,2021-08-09,262
Russia,2021-04-05,220
Russia,2021-04-19,313
Russia,2021-05-03,313
Russia,2021-05-17,291
Russia,2021-05-31,511
Russia,2021-06-14,904
Russia,2021-06-28,543
Russia,2021-07-12,665
Russia,2021-07-26,214
Russia,2021-08-09,256
Rwanda,2021-04-05,21
Rwanda,2021-04-19,6
Rwanda,2021-05-03,5
Rwanda,2021-05-17,8
Rwanda,2021-05-31,4
Rwanda,2021-06-14,6
Rwanda,2021-06-28,119
Rwanda,2021-07-12,59
Rwanda,2021-07-26,21
Rwanda,2021-08-09,56
Senegal,2021-04-05,17
Senegal,2021-04-19,5
Senegal,2021-05-03,2
Senegal,2021-05-17,6
Senegal,2021-05-31,3
Senegal,2021-06-14,50
Senegal,2021-06-28,1
Senegal,2021-07-12,3
Senegal,2021-07-26,47
Senegal,2021-08-09,43
Serbia,2021-04-05,1
Serbia,2021-04-19,8
Serbia,2021-05-03,14
Serbia,2021-05-17,29
Serbia,2021-05-31,18
Serbia,2021-06-14,5
Serbia,2021-06-28,1
Serbia,2021-07-12,15
Serbia,2021-07-26,15
Serbia,2021-08-09,5
Seychelles,2021-04-19,1
Seychelles,2021-05-03,3
Seychelles,2021-05-17,2
Seychelles,2021-05-31,44
Seychelles,2021-06-14,54
Seychelles,2021-06-28,15
Seychelles,2021-07-12,4
Seychelles,2021-07-26,10
Seychelles,2021-08-09,23
Singapore,2021-04-05,164
Singapore,2021-04-19,188
Singapore,2021-05-03,191
Singapore,2021-05-17,220
Singapore,2021-05-31,330
Singapore,2021-06-14,178
Singapore,2021-06-28,217
Singapore,2021-07-12,75
Singapore,2021-07-26,836
Singapore,2021-08-09,864
Sint Maarten (Dutch part),2021-04-05,40
Sint Maarten (Dutch part),2021-04-19,20
Sint Maarten (Dutch part),2021-05-03,33
Sint Maarten (Dutch part),2021-05-17,28
Sint Maarten (Dutch part),2021-05-31,111
Sint Maarten (Dutch part),2021-06-14,51
Sint Maarten (Dutch part),2021-06-28,68
Sint Maarten (Dutch part),2021-07-12,39
Sint Maarten (Dutch part),2021-07-26,67
Sint Maarten (Dutch part),2021-08-09,147
Slovakia,2021-04-05,660
Slovakia,2021-04-19,616
Slovakia,2021-05-03,337
Slovakia,2021-05-17,338
Slovakia,2021-05-31,691
Slovakia,2021-06-14,594
Slovakia,2021-06-28,249
Slovakia,2021-07-12,242
Slovakia,2021-07-26,271
Slovakia,2021-08-09,372
Slovenia,2021-04-05,1656
Slovenia,2021-04-19,2046
Slovenia,2021-05-03,1979
Slovenia,2021-05-17,1267
Slovenia,2021-05-31,699
Slovenia,2021-06-14,658
Slovenia,2021-06-28,385
Slovenia,2021-07-12,474
Slovenia,2021-07-26,749
Slovenia,2021-08-09,1341
South Africa,2021-04-05,324
South Africa,2021-04-19,250
South Africa,2021-05-03,390
South Africa,2021-05-17,545
South Africa,2021-05-31,646
South Africa,2021-06-14,1101
South Africa,2021-06-28,1661
South Africa,2021-07-12,2226
South Africa,2021-07-26,1667
South Africa,2021-08-09,1601
South Korea,2021-04-05,324
South Korea,2021-04-19,408
South Korea,2021-05-03,530
South Korea,2021-05-17,223
South Korea,2021-05-31,210
South Korea,2021-06-14,473
South Korea,2021-06-28,575
South Korea,2021-07-12,715
South Korea,2021-07-26,1062
South Korea,2021-08-09,960
Spain,2021-04-05,2788
Spain,2021-04-19,2957
Spain,2021-05-03,2815
Spain,2021-05-17,3341
Spain,2021-05-31,2613
Spain,2021-06-14,3221
Spain,2021-06-28,3000
Spain,2021-07-12,5987
Spain,2021-07-26,5278
Spain,2021-08-09,5388
